title,description,posted_date,price,partitioning,surface,floor,rooms,terrace,parking,cellar,source_offer,neighborhood,posted_date_month,price_sqm
apartament cu 2 camere in ansamblul luminia,"koncept imobiliare va ofera spre inchiriere un apartament ultrafinisat cu 2 camere in cartierul europa, in ansamblul rezidential luminia. apartamentul este situate intro zona linistita foarte aproape de mijloacele de transport in comun, magazine, parc de joaca pentru copii, avand acces facil spre centrul orasului. apartamentul cu suprafata utila de 52mp este situat la etajul 4 a unui imobil nou cu 6 etaje si este compartimentat astfel: dormitor cu pat matrimonial, living impreuna cu bucataria, antreu, terasa generoasa de 15 mp si baie cu geam. apartamentul este dotat cu aer conditionat, usa antiefractie, wireless, avand mobila si electrocasnice premium. dispune si de un loc de parcare, dar si o curte inchisa, intrarea realizandu-se cu telecomanda. in plus, dispune de o panorama superba, spre oras. apartamentul se afla la prima inchiriere si este disponibil imediat. pentru detalii complete, pentru programarea unei vizionari sau pentru a afla oferta noastra completa, nu ezitati sa ne contactati telefonic, prin e-mail sau direct la sediul agentiei noastre de pe strada napoca 10.confort: luxtip imobil: bloc de apartamentenumăr băi: 1posibilitate parcare: nu",2019-09-28,500.0,semidecomandat,52.0,4,2.0,True,True,False,real estate agency,europa,9,9.615384615384615
apartament spatios cu 4 camere în cartierul buna ziua,"koncept imobiliare va propune spre inchiriere un apartament cu 4 camere situat in cartierul buna ziua. este situat la mansarda unui imobil cu 3 etaje, are suprafata utila de 145 mp., fiind compartimentata astfel: living, bucatarie,  3 dormitoare fiecare cu baie proprie, hol, baie si un balcon. se inchiriaza cu bucataria mobilata. pentru detalii complete, pentru programarea unei vizionari sau pentru a afla oferta noastra completa, nu ezitati sa ne contactati telefonic, prin e-mail sau direct la sediul agentiei noastre de pe strada napoca nr. 10.confort: 1tip imobil: bloc de apartamentenumăr băi: mai mult de 3posibilitate parcare: nu",2019-09-28,650.0,semidecomandat,145.0,attic,4.0,True,True,False,real estate agency,buna ziua,9,4.482758620689655
apartament spatios de inchiriat in zona interservisan,"klar imobiliare va propune la inchiriere un apartament spatios de 75 mp localizat in cartierul gheorgheni in imediata apropiere a centrului medical interservisan, iulius mall si a bazei sportive gheorgheni.amplasarea este una ideala, avand atat liniste si aerisire cat si acces rapid spre centru si repere diverse de interes (gradinite, scoli, magazine, banci).localizat intr-un bloc constructie noua, apartamentul de 2 camere este compus dintr-un living foarte generos, o bucatarie semiinchisa, un hol care pune la dispozitie suprafete mari de depozitare in interiorul unor dulapuri cu usi glisante.de asemena mai este un dormitor, o baie cu dus si un balcon inchis destinat savurarii unei cafele dimineata sau unui pahar de vin seara.in pretul inchirierii este inclusa si o parcare subterana cu acces prin casa scarii.apartamentul este ideal pentru una sau doua persoane in cautare de confort.proprietarul doreste sa inchirieze catre persoane linistite care sa se simta ca acasa.id intern: 495.confort: 1 sporittip imobil: bloc de apartamentenumăr băi: 1posibilitate parcare: danr. locuri parcare: 1",2019-09-28,530.0,decomandat,75.0,ground floor,2.0,True,True,False,real estate agency,gheorgheni,9,7.066666666666666
"apartament cu 2 camere modern in viva city, zona iulius mall","koncept imobiliare va ofera spre inchiriere un apartament smidecomandat cu 2 camere in ansamblul rezidential viva city, zona iulius mall. ansamblul este intr-o locatie premium din cartierul gheorgheni, fiind situat la doar 2 minute de iulius mall si lacurile din apropiere, precum si de universitatile dimitrie cantemir si babes-bolyai. locatarii au acces la toate facilitatile complexului: paza24/7 si supraveghere video, 2 terenuri de squash, sala de fitness, teren de basket, ping-pong, biliard, darts, fotbal de masa, locuri de joaca pentru copii, sala de evenimente, lac in curtea interioara a condominiului. apartamentul in suprafata utila de 45 mp este situat la etajul 8 intr-un imobil cu 11 etaje si este compus din: living impreuna cu bucataria de tip  open space, dormitor, baie, hol si 1 balcon de 11 mp. acesta este finisat modern, dispune de ac si se inchiriaza complet mobilat si utilat. pretul chiriei include si 1 loc de parcare subteran. este disponibil imediat. pentru detalii complete, pentru programarea unei vizionari sau pentru a afla oferta noastra completa, nu ezitati sa ne contactati telefonic, prin email sau direct la sediul agentiei noastre pe str napoca nr 10.confort: 1tip imobil: bloc de apartamentenumăr băi: 1posibilitate parcare: danr. locuri parcare: 1",2019-09-28,500.0,semidecomandat,45.0,8,2.0,True,True,False,real estate agency,gheorgheni,9,11.11111111111111
"inchiriere apartament cu 2 camere semidecomandat, hasdeu","capital imobiliare va propune spre inchiriere un apartament cu 2 camere semidecomandat, situat in zona hasdeu, cluj-napoca. proprietatea dispune de 45 mp, iar compartimentarea este urmatoarea: 1 camera, 1 living, 1 baie si 1 hol.pentru mai multe detalii, nu ezitati sa ne contactati!id intern: ci2878confort: 1tip imobil: bloc de apartamentenumăr băi: 1",2019-09-28,550.0,semidecomandat,45.0,2,2.0,False,False,False,real estate agency,centru,9,12.222222222222221
apartament cu doua camere frumos si spatios de inchiriat,"va propunem spre inchiriere un apartament frumos, spatios si foarte bine ingrijit.apartamentul este compartimentat astfel: un dormitor mare si spatios, liviing cu bucatarie open space, hol cu cuier, baie si debara.apartamentul este situat intr-o zona linistita, aproape de piata marasti intr-un imobil nou locuinta fiind  primitoare si aranjata!va asteptam la vizionare!confort: 1tip imobil: bloc de apartamentenumăr băi: 1posibilitate parcare: nu",2019-09-28,420.0,semidecomandat,60.0,6,2.0,False,True,False,real estate agency,marasti,9,7.0
"apartament 2 camere, modern, semicentral, pe traian","va propun pentru inchiriere un apartament cu 2 camere la casa, in zona semicentrala, amenajat modern in stil minimalist: simplu si cu gust, curat si placut la privit.este compus din:- 2 camere, mai specific dormitoare, cu paturi matrimoniale, sifonier si noptiere- 1 (living) bucatarie utilata cu cele necesare, sofa si masa cu 4 scaune- baie cu dus cu picurator si perete de sticla etc.- curte cu spatiu verde.cheltuielile de intretinere sunt mici, in primul rand pentru ca apartamentul este bine compartimentat si in al doilea rand pentru ca incalzirea este este prin pardoseala.fiecare camera (inclusiv baia) are termostat propriu si poti regla temperatura independent de celelalte incaperi.proprietarul este easy going, este o persoana faina, mi-a fost mai mare dragul sa colaborez cu ea.id intern: p19143confort: 1tip imobil: casă/vilănumăr băi: 1nr. locuri parcare: 1",2019-09-28,700.0,decomandat,50.0,ground floor,2.0,False,True,False,real estate agency,centru,9,14.0
"apartament 2 camere, parcare, p-ta mihai viteazul","va propunem spre inchiriere un apartament cu 2 camere, situat intr-o zona centrala, in piata mihai viteazul. apartamentul se afla la etajul doi al imobilului si are o suprafata utila de 50 de mp. apartamentul este decomandat, fiind compartimentat astfel: dormitor cu pat matrimonial, living cu canapea extensibila, bucatarie, baie si hol. apartamentul este complet mobilat si utilat. apartamentul dispune de un loc de parcare in curtea imobilului. in apropierea imobilului exista piata, supermarket, cinema.pentru mai multe detalii nu ezitati sa ne contactati!trust imobiliareconfort: 2 sporittip imobil: bloc de apartamentenumăr băi: 1posibilitate parcare: danr. locuri parcare: 1",2019-09-28,450.0,decomandat,50.0,2,2.0,False,True,False,real estate agency,centru,9,9.0
"dau in chirie apartament cu 2 camere, in cartierul grigorescu","dau in chirie apartament cu 2 camere, situat in cartierul grigorescu.apartamentul se afla la etajul 4 intr-un imobil cu 8 niveluri, avand  suprafata utila de 52 mp. este decomandat si compus din: 2 camere, bucatarie, baie, hol, nisa si balcon. apartamentul este complet mobilat si utilat.imobilul este situat intr-o zona linistita, fiind aproape de mijloacele de transport in comun, magazine, scoli, gradinite, parcuri de joaca si activitati sportive.",2019-09-22,420.0,nedecomandat,52.0,4,2.0,True,False,False,owner,grigorescu,9,8.076923076923077
"inchiriere apartament 2 camere decomandate, zona farmec","id oferta: 3612homeward imobiliare va propune spre inchiriere un apartament cu 2 camere decomandate 50 mp situat în zona farmec, cartier marasti.apartamentul este pozitionat la etajul 1 al unui imobil cu 4 niveluri.in ceea ce priveste compartimentarea acesta este decomandat avand următoarele caracteristici: un dormitor, un living, o bucatarie, baie, terasa.locuinta beneficiaza de: termopan parchet, gresie , faianta, centrala termica.se inchireaza mobilat si utilat.parerea agentului:apartamentul este spatios si primitor. recomand cu incredere atat unei familii serioase cat si pentru studenti, avand in vedere, ca sunt 2 camere decomandate si este foarte aproape de mijloacele de transport.id intern: p3612confort: 1tip imobil: bloc de apartamentenumăr băi: 1",2019-09-24,475.0,decomandat,50.0,1,2.0,True,False,False,real estate agency,marasti,9,9.5
